gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.048477001,-0.001917,0.010101,0.048818814,-0.001975449,0.010042776,0.648697913,5.30E-01
0.048404999,-0.001922,0.010099,0.048829329,-0.002005476,0.010013879,0.701828003,5.56E-01
0.04834,-0.001927,0.010102,0.048710121,-0.001971572,0.010093562,0.701828003,5.81E-01
0.048262998,-0.001911,0.010131,0.048741204,-0.002059823,0.010023192,0.754577875,6.06E-01
0.048176002,-0.001862,0.010158,0.04889734,-0.001933651,0.010081429,0.754577875,6.30E-01
0.048126999,-0.001855,0.010167,0.04873499,-0.001889498,0.010143111,0.798662007,6.53E-01
0.048126001,-0.001903,0.010127,0.048624868,-0.001788681,0.010275735,0.798662007,6.75E-01
0.048103999,-0.001907,0.010132,0.048458766,-0.001773467,0.010250468,0.835544646,6.96E-01
0.048062999,-0.001862,0.010177,0.048302976,-0.001737191,0.010365546,0.835544646,7.15E-01
0.048076998,-0.001893,0.010154,0.048428458,-0.001755209,0.010302254,0.863623142,7.34E-01
0.048080999,-0.001907,0.010148,0.048308129,-0.001687079,0.010340662,0.863623142,7.50E-01
0.048032001,-0.001857,0.010194,0.048322406,-0.001713895,0.010419271,0.885180235,7.66E-01
0.048057999,-0.001922,0.010137,0.048271457,-0.001649533,0.010444056,0.885180235,7.80E-01
0.048044,-0.001907,0.010164,0.048265905,-0.001684465,0.010323623,0.901870608,7.93E-01
0.048021,-0.001897,0.010163,0.048198582,-0.001716502,0.010289442,0.901870608,8.05E-01
0.047984999,-0.001867,0.010196,0.048153897,-0.00177345,0.010273254,0.901201427,8.16E-01
0.047991998,-0.001882,0.010183,0.048137955,-0.001791868,0.010280533,0.901201427,8.26E-01
0.048018001,-0.001926,0.010158,0.048227793,-0.001784537,0.010313232,0.890339613,8.36E-01
0.048009001,-0.001908,0.010163,0.048234965,-0.001751155,0.010377699,0.890339613,8.45E-01
0.048007999,-0.001914,0.010158,0.048176848,-0.001634883,0.010389824,0.87399137,8.53E-01
0.048009001,-0.00192,0.010147,0.048052232,-0.001754779,0.010399491,0.87399137,8.61E-01
0.047970999,-0.001849,0.0102,0.047985109,-0.001748799,0.010426335,0.849942267,8.69E-01
0.048,-0.001899,0.010166,0.048091105,-0.001679263,0.010397477,0.849942267,8.76E-01
0.047991998,-0.001883,0.010185,0.04810783,-0.001676014,0.010368455,0.822501838,8.82E-01
0.047991,-0.001885,0.010173,0.047905836,-0.001742376,0.010424185,0.822501838,8.88E-01
0.047982998,-0.001882,0.010185,0.048009852,-0.001804469,0.01044527,0.79730916,8.94E-01
0.047993001,-0.001905,0.010178,0.048167424,-0.001756073,0.010454817,0.79730916,8.98E-01
0.048011001,-0.001928,0.010172,0.047804755,-0.001742032,0.010407964,0.775965571,9.02E-01
0.047982,-0.00188,0.010184,0.047712873,-0.001752833,0.010414745,0.775965571,9.04E-01
0.048002001,-0.00192,0.010172,0.047771407,-0.00174827,0.010399652,0.75790453,9.05E-01
0.047984,-0.001903,0.010174,0.047943354,-0.001749051,0.010406315,0.75790453,9.05E-01
0.047993999,-0.001928,0.010158,0.047937541,-0.001765086,0.010366885,0.733061671,9.03E-01
0.048014998,-0.001964,0.010139,0.047895734,-0.001751278,0.010399481,0.733061671,8.99E-01
0.047986001,-0.001909,0.010177,0.047979792,-0.00173564,0.01038385,0.703970969,8.94E-01
0.047984,-0.001902,0.01018,0.047812085,-0.001726912,0.010415633,0.703970969,8.86E-01
0.047974002,-0.001892,0.010192,0.047754297,-0.001848793,0.010317121,0.675198019,8.76E-01
0.048039,-0.002008,0.010102,0.047669031,-0.001905386,0.010329268,0.675198019,8.64E-01
0.048021,-0.001982,0.010116,0.047762384,-0.001735166,0.010406437,0.649128795,8.50E-01
0.048012,-0.001965,0.010134,0.047706208,-0.001811936,0.010321219,0.649128795,8.33E-01
0.048016999,-0.00196,0.01013,0.047587234,-0.001768024,0.010298827,0.625892341,8.13E-01
0.048044,-0.001968,0.010123,0.047657673,-0.001744096,0.010379223,0.625892341,7.91E-01
0.048044,-0.001971,0.01012,0.047804468,-0.001868575,0.010362942,0.579971313,7.68E-01
0.048016999,-0.001928,0.01015,0.047741844,-0.001794261,0.010390959,0.579971313,7.42E-01
0.048036002,-0.001962,0.010129,0.047790292,-0.001874194,0.010352536,0.515239179,7.14E-01
0.048016999,-0.00193,0.010154,0.048008529,-0.001957718,0.010348099,0.515239179,6.86E-01
0.048016001,-0.001928,0.010153,0.047884857,-0.001871682,0.010279398,0.442468673,6.56E-01
0.048012,-0.001925,0.010161,0.04802146,-0.001760875,0.010340012,0.442468673,6.26E-01
0.047984999,-0.001915,0.010177,0.047957691,-0.001829694,0.010348633,0.365618885,5.96E-01
0.047935002,-0.001944,0.010172,0.047830699,-0.001788734,0.010335992,0.365618885,5.66E-01
0.047820002,-0.001938,0.010194,0.048041456,-0.001820147,0.010354072,0.290022969,5.36E-01
0.047711,-0.001964,0.010162,0.048188951,-0.00187371,0.010387626,0.290022969,5.08E-01
0.047532,-0.00189,0.01018,0.04778189,-0.001874645,0.010327332,0.218762442,4.80E-01
0.047341999,-0.001851,0.010168,0.047721642,-0.00189066,0.010254638,0.218762442,4.54E-01
0.047219999,-0.001896,0.010119,0.047683301,-0.001889637,0.010283391,0.150263906,4.29E-01
0.047063001,-0.001896,0.010155,0.047729081,-0.001873187,0.010438314,0.150263906,4.05E-01
