gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.043056998,-0.000603,0.011474,0.04424662,-0.00078465,0.011969493,0.76635164,6.18E-01
0.042996,-0.000562,0.011527,0.043646857,-0.001194821,0.011696309,0.76635164,6.38E-01
0.042978,-0.000541,0.011538,0.043367408,-0.000830908,0.011251214,0.806951463,6.57E-01
0.042987999,-0.00056,0.011533,0.04522216,-0.000410783,0.011801245,0.806951463,6.74E-01
0.043009002,-0.000604,0.01151,0.04459754,-0.001160503,0.010993715,0.831706941,6.90E-01
0.042991001,-0.000578,0.011518,0.043838788,-0.000996876,0.011288712,0.831706941,7.04E-01
0.042991001,-0.000571,0.011522,0.043386055,-0.000961861,0.010969143,0.84595257,7.16E-01
0.042991001,-0.000558,0.011534,0.043019087,-0.001036526,0.010190054,0.84595257,7.27E-01
0.043000001,-0.000574,0.011524,0.043360941,-0.00100116,0.010037664,0.850940764,7.36E-01
0.042994,-0.00057,0.011536,0.043760117,-0.000858736,0.011055353,0.850940764,7.44E-01
0.043042,-0.000601,0.011508,0.044389439,-0.000739616,0.011684767,0.848157406,7.50E-01
0.043071002,-0.000556,0.011517,0.044285566,-0.000672553,0.010059734,0.848157406,7.55E-01
0.043093,-0.000554,0.011523,0.045346553,-0.001173506,0.010681666,0.832889616,7.58E-01
0.043141998,-0.000582,0.01151,0.044746932,-0.001211384,0.011522372,0.832889616,7.61E-01
0.043136001,-0.000568,0.011527,0.044994052,-0.00063703,0.011912774,0.807252645,7.63E-01
0.043134,-0.000559,0.011527,0.04339024,-0.000286229,0.011708753,0.807252645,7.64E-01
0.043113999,-0.000523,0.011547,0.042292494,-0.000650687,0.011522964,0.771526217,7.65E-01
0.043150999,-0.000588,0.011503,0.044529128,-0.000782053,0.011733186,0.771526217,7.65E-01
0.043143,-0.000571,0.011504,0.043563123,-0.000775914,0.011500487,0.731925726,7.66E-01
0.043132,-0.000556,0.011512,0.043443926,-0.000908443,0.012140908,0.731925726,7.66E-01
0.043148998,-0.000586,0.011479,0.044919997,-0.000833812,0.012047337,0.691927731,7.65E-01
0.043138999,-0.000568,0.011502,0.044940662,-0.000988331,0.012581953,0.691927731,7.65E-01
0.043120001,-0.000526,0.011542,0.045646467,-0.001636315,0.012252148,0.661476612,7.64E-01
0.043111,-0.000506,0.01155,0.044370102,-0.001099927,0.012045752,0.661476612,7.63E-01
0.043147001,-0.000567,0.011503,0.043216345,-0.000470238,0.011338952,0.639952302,7.61E-01
0.043106999,-0.000493,0.011547,0.04382903,-0.001100152,0.011645776,0.639952302,7.59E-01
0.043133002,-0.000536,0.011505,0.044791158,-0.001360977,0.011203785,0.622854769,7.56E-01
0.043132,-0.000531,0.011506,0.043684037,-0.001184052,0.011038239,0.622854769,7.51E-01
0.043115001,-0.000499,0.011537,0.042858953,-0.000849666,0.011487739,0.60449934,7.46E-01
0.043116,-0.000508,0.011536,0.043844059,-0.001219759,0.011221674,0.60449934,7.38E-01
0.043117002,-0.000512,0.011534,0.044326834,-0.000882675,0.010698696,0.5855515,7.30E-01
