gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_0,state_11,state_1
0.048016001,-0.001928,0.010153,0.047462336,-0.001728764,0.010506691,0.442468673,0.523050249,0.442468673
0.048012,-0.001925,0.010161,0.047395823,-0.001742565,0.010478447,0.442468673,0.503834812,0.442468673
0.047984999,-0.001915,0.010177,0.047361008,-0.001746707,0.010487927,0.365618885,0.437590999,0.365618885
0.047935002,-0.001944,0.010172,0.047396345,-0.001758791,0.01048024,0.365618885,0.376782866,0.365618885
0.047820002,-0.001938,0.010194,0.047439028,-0.001775334,0.010474495,0.290022969,0.246142578,0.290022969
0.047711,-0.001964,0.010162,0.047586604,-0.00177528,0.010424877,0.290022969,0.189020166,0.290022969
0.047532,-0.00189,0.01018,0.047503044,-0.0017759,0.01042125,0.218762442,0.098664177,0.218762442
0.047341999,-0.001851,0.010168,0.047537664,-0.001825956,0.010402039,0.218762442,,0.218762442
0.047219999,-0.001896,0.010119,0.047469899,-0.001755373,0.010475285,0.150263906,,0.150263906
0.047063001,-0.001896,0.010155,0.047461376,-0.001813321,0.010416573,0.150263906,,0.150263906
0.046967998,-0.001943,0.010154,0.047464105,-0.001769192,0.010420624,0.086651288,,0.086651288
0.046817001,-0.001842,0.010263,0.047345803,-0.001790614,0.010411203,0.086651288,,0.086651288
0.046778999,-0.001864,0.010253,0.047341392,-0.00182336,0.01036448,0.048943676,,0.048943676
0.046760999,-0.001883,0.01024,0.047241319,-0.001866975,0.010345219,0.048943676,,0.048943676
0.046760999,-0.001908,0.010226,0.047120509,-0.001873481,0.010399503,0.035287756,,0.035287756
0.046725001,-0.001892,0.010252,0.047124666,-0.001874251,0.010364968,0.035287756,,0.035287756
0.046709999,-0.001937,0.010244,0.04704101,-0.001893773,0.010402337,0.034398112,,0.034398112
0.046657,-0.00194,0.010251,0.046960047,-0.001850032,0.010437119,0.034398112,,0.034398112
0.046574,-0.001933,0.010284,0.046998706,-0.001822651,0.010418912,0.044819467,,0.044819467
0.046500001,-0.001962,0.010277,0.046760558,-0.001742684,0.010453167,0.044819467,,0.044819467
0.046376999,-0.001903,0.010329,0.046871023,-0.001785218,0.010404787,0.057657331,,0.057657331
0.04628,-0.001871,0.010337,0.046709076,-0.001821787,0.010422791,0.057657331,,0.057657331
0.046163999,-0.001805,0.010357,0.046667974,-0.001792802,0.010397947,0.075057238,,0.075057238
0.046055999,-0.001779,0.010343,0.046533114,-0.001752211,0.010434764,0.075057238,,0.075057238
0.045963001,-0.001781,0.010342,0.04624041,-0.001780215,0.010442808,0.093563631,,0.093563631
0.045857999,-0.001761,0.010386,0.046113188,-0.001789516,0.010409414,0.093563631,,0.093563631
0.045738999,-0.001741,0.010429,0.045950407,-0.001812165,0.010405606,0.113350578,,0.113350578
0.045671999,-0.001765,0.010429,0.045887892,-0.001844316,0.010400622,0.113350578,,0.113350578
0.045536,-0.001692,0.010502,0.045833259,-0.0018522,0.010444354,0.14225702,,0.14225702
0.045437999,-0.001669,0.010502,0.045565851,-0.001837241,0.010453836,0.14225702,,0.14225702
0.045375001,-0.00168,0.010474,0.045536429,-0.001800869,0.010479839,0.17515929,,0.17515929
0.045235001,-0.001585,0.010532,0.045457982,-0.00193536,0.010438621,0.17515929,,0.17515929
